Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,mole,pool_depth_.cm.,-0.0751,0.6432,-1.1676,-0.0657,0.9191,1.0027,1500
Occupancy,mtdusky,pool_depth_.cm.,-0.1322,0.6057,-1.1134,-0.1389,0.8523,1.0032,1342
Occupancy,nodusky,pool_depth_.cm.,-0.4328,0.3512,-1.0675,-0.4094,0.0908,1.0083,1260
Occupancy,twolined,pool_depth_.cm.,-0.0919,0.2401,-0.4833,-0.094,0.3102,1.0094,1500
Occupancy,longtail,pool_depth_.cm.,0.1395,0.5818,-0.7921,0.118,1.1,1.0029,1108
Occupancy,red,pool_depth_.cm.,-0.0629,0.5143,-0.8536,-0.0778,0.7746,1.0056,1313
Occupancy,redback,pool_depth_.cm.,-0.6185,0.4835,-1.3892,-0.6322,0.1893,1.0228,1135
Occupancy,blacknose_dace,pool_depth_.cm.,0.106,0.5964,-0.8884,0.1016,1.0983,1.0029,1194
Occupancy,bluegill_sunfish,pool_depth_.cm.,0.0355,0.6329,-0.9823,0.0226,1.1138,1.0088,1420
Occupancy,creek_chub,pool_depth_.cm.,-0.334,0.5891,-1.3492,-0.3156,0.5851,1.0011,1500
Occupancy,johnny_darter,pool_depth_.cm.,0.0732,0.6049,-0.8875,0.0631,1.0429,0.9998,1319
Occupancy,sessile_animals,pool_depth_.cm.,-0.1295,0.6193,-1.1334,-0.1274,0.8959,1.0026,1501
Occupancy,aquatic_worms,pool_depth_.cm.,0.6519,0.3272,0.1645,0.6311,1.1987,1.0024,1500
Occupancy,sow_bugs,pool_depth_.cm.,0.7337,0.4083,0.1398,0.694,1.4436,1.0053,1273
Occupancy,scuds,pool_depth_.cm.,0.1633,0.3905,-0.4633,0.1565,0.817,1.0041,1500
Occupancy,water_mites,pool_depth_.cm.,0.2805,0.5504,-0.5907,0.2511,1.218,1.0032,1380
Occupancy,damselfly_nymphs,pool_depth_.cm.,0.9096,0.5369,0.1356,0.8639,1.8413,1.0504,1236
Occupancy,alderfly_larvae,pool_depth_.cm.,0.2469,0.4165,-0.4008,0.2325,0.9437,1.0112,1306
Occupancy,other_beetles,pool_depth_.cm.,-0.0907,0.396,-0.6971,-0.1118,0.6147,1.0068,1500
Occupancy,crayfish,pool_depth_.cm.,-0.4345,0.202,-0.79,-0.4265,-0.1071,1.0007,1500
Occupancy,dragonfly_nymphs,pool_depth_.cm.,0.34,0.333,-0.1649,0.3265,0.8823,1.007,1500
Occupancy,riffle_beetles,pool_depth_.cm.,0.6593,0.365,0.1069,0.6393,1.27,1.0131,1179
Occupancy,other_flies,pool_depth_.cm.,0.4322,0.4405,-0.2634,0.4097,1.1837,1.002,1373
Occupancy,snails,pool_depth_.cm.,0.8771,0.5566,0.0802,0.8446,1.8059,1.0022,1225
Occupancy,clams,pool_depth_.cm.,0.0555,0.5258,-0.8128,0.0634,0.9077,1.0017,1328
Occupancy,fishfly_larvae,pool_depth_.cm.,-0.4165,0.2868,-0.8769,-0.4152,0.0495,1.0038,1500
Occupancy,water_penny_beetles,pool_depth_.cm.,-0.0816,0.3833,-0.7135,-0.0796,0.5381,1.0011,1553
Occupancy,cranefly_larvae,pool_depth_.cm.,0.2505,0.5329,-0.6473,0.2479,1.1181,1.0068,1500
Occupancy,ameletidae,pool_depth_.cm.,-0.1111,0.6203,-1.1662,-0.0947,0.8656,1.0074,1068
Occupancy,baetidae,pool_depth_.cm.,0.0724,0.3504,-0.4524,0.0473,0.6725,1.019,1658
Occupancy,caenidae,pool_depth_.cm.,0.5626,0.5381,-0.2894,0.5286,1.4897,1.0089,1164
Occupancy,ephemerellidae,pool_depth_.cm.,-0.0181,0.6118,-0.9965,-0.0278,0.9448,1.0025,1500
Occupancy,ephemeridae,pool_depth_.cm.,0.3072,0.6148,-0.6533,0.2854,1.3486,1.0047,1285
Occupancy,heptageniidae,pool_depth_.cm.,0.3501,0.4895,-0.4456,0.3408,1.1435,1.0039,1500
Occupancy,leptophlebiidae,pool_depth_.cm.,-0.5258,0.3117,-1.057,-0.5076,-0.0396,1.0116,1500
Occupancy,capniidae,pool_depth_.cm.,0.2328,0.6065,-0.7142,0.212,1.2743,1.0023,1500
Occupancy,chloroperlidae,pool_depth_.cm.,0.1778,0.545,-0.7135,0.1685,1.0776,1.0044,1327
Occupancy,leuctridae,pool_depth_.cm.,-0.1712,0.5091,-0.9396,-0.2119,0.7438,1.0073,1466
Occupancy,nemouridae,pool_depth_.cm.,-0.3101,0.4942,-1.0724,-0.3185,0.5287,1.0034,1175
Occupancy,perlidae,pool_depth_.cm.,0.0038,0.3851,-0.5932,-0.0169,0.6528,1.0113,1500
Occupancy,perlodidae,pool_depth_.cm.,-0.2106,0.5403,-1.096,-0.2065,0.7029,1.0009,1326
Occupancy,glossosomatidae,pool_depth_.cm.,-0.1894,0.6139,-1.2128,-0.159,0.7748,1.0013,1221
Occupancy,goeridae,pool_depth_.cm.,0.0228,0.62,-1.0088,0.0354,1.0171,1.0022,1339
Occupancy,hydropsychidae,pool_depth_.cm.,0.1366,0.3773,-0.4398,0.1133,0.7952,1.0017,1500
Occupancy,hydroptilidae,pool_depth_.cm.,0.228,0.5123,-0.6041,0.2168,1.0398,1.0001,1500
Occupancy,lepidostomatidae,pool_depth_.cm.,-0.4547,0.3287,-1.0121,-0.4471,0.0554,1.0128,1366
Occupancy,limnephilidae,pool_depth_.cm.,-0.5419,0.3228,-1.1006,-0.5253,-0.0521,1.0019,1500
Occupancy,molannidae,pool_depth_.cm.,-0.4606,0.5823,-1.3783,-0.4676,0.474,1.0012,900
Occupancy,philopotamidae,pool_depth_.cm.,0.0106,0.3066,-0.4785,0.0065,0.4898,1.0075,1500
Occupancy,polycentropodidae,pool_depth_.cm.,0.418,0.2994,-0.0379,0.4059,0.9231,1.0011,1500
Occupancy,rhyacophilidae,pool_depth_.cm.,-0.4018,0.5265,-1.294,-0.373,0.4019,1.0052,1199
Occupancy,uenoidae,pool_depth_.cm.,0.3674,0.6345,-0.5976,0.3262,1.4815,1.0058,1238
Occupancy,midges,per_sand,0.1265,0.4044,-0.4967,0.1028,0.8041,1.0025,1500
Occupancy,mole,per_sand,1.0119,0.7922,-0.196,0.9442,2.3981,1.0066,1284
Occupancy,mtdusky,per_sand,0.0596,0.8087,-1.2267,0.0821,1.3534,1.0121,1043
Occupancy,nodusky,per_sand,-0.0774,0.3635,-0.6719,-0.0668,0.4999,1.0023,1312
Occupancy,twolined,per_sand,0.3113,0.3101,-0.1693,0.3008,0.8185,1.0004,1500
Occupancy,longtail,per_sand,0.9837,0.7941,-0.2885,0.9749,2.3298,1.0219,1090
Occupancy,red,per_sand,0.9644,0.7192,-0.1475,0.9477,2.204,1.005,1192
Occupancy,redback,per_sand,0.8903,0.562,0.0549,0.8392,1.8321,1.0286,1341
Occupancy,blacknose_dace,per_sand,0.4789,0.817,-0.8084,0.4787,1.8176,1.0033,1050
Occupancy,bluegill_sunfish,per_sand,0.7743,0.8477,-0.5803,0.7732,2.1477,1.0042,954
Occupancy,creek_chub,per_sand,-0.2274,0.7325,-1.4498,-0.2242,0.9243,1.0094,1170
Occupancy,johnny_darter,per_sand,0.3378,0.7795,-0.9373,0.355,1.614,1.0194,1212
Occupancy,sessile_animals,per_sand,0.292,0.7964,-1.0057,0.3245,1.5793,1.0012,1188
Occupancy,aquatic_worms,per_sand,-0.1551,0.356,-0.7022,-0.1743,0.4409,1.0056,1500
Occupancy,sow_bugs,per_sand,-0.4823,0.5908,-1.4824,-0.4762,0.4456,1.0102,1155
Occupancy,scuds,per_sand,0.1137,0.6417,-0.8286,0.0502,1.2535,1.0201,822
Occupancy,water_mites,per_sand,0.3038,0.5801,-0.5486,0.2766,1.3191,0.9995,1500
Occupancy,damselfly_nymphs,per_sand,0.341,0.453,-0.3418,0.3108,1.1699,1.0206,1270
Occupancy,alderfly_larvae,per_sand,0.7901,0.6122,-0.1232,0.7402,1.8866,1.0044,1500
Occupancy,other_beetles,per_sand,0.752,0.5949,-0.1076,0.6908,1.8151,1.0062,1243
Occupancy,crayfish,per_sand,0.9999,0.2857,0.5508,0.9818,1.4877,1.0165,1500
Occupancy,dragonfly_nymphs,per_sand,1.3806,0.4491,0.7195,1.3432,2.166,1.0065,1500
Occupancy,riffle_beetles,per_sand,0.4262,0.4567,-0.2658,0.4036,1.2312,1.0012,1387
Occupancy,other_flies,per_sand,0.4327,0.5303,-0.3827,0.4176,1.3268,1.0155,1586
Occupancy,snails,per_sand,0.1633,0.4446,-0.5394,0.1399,0.9293,1.0067,1668
Occupancy,clams,per_sand,-0.0416,0.6219,-0.9633,-0.0883,1.0239,1.0064,1172
Occupancy,fishfly_larvae,per_sand,1.4511,0.4504,0.7694,1.4207,2.2235,1.0015,1340
Occupancy,water_penny_beetles,per_sand,0.5649,0.3933,-0.0481,0.5545,1.2045,1.0027,1388
Occupancy,cranefly_larvae,per_sand,0.8746,0.5719,-0.1327,0.8855,1.7498,1.005,1340
Occupancy,ameletidae,per_sand,0.0277,0.799,-1.2555,0.0384,1.3506,1.0107,910
Occupancy,baetidae,per_sand,0.5327,0.365,-0.0358,0.5156,1.1804,1.0025,1345
Occupancy,caenidae,per_sand,1.2072,0.7391,0.0539,1.1796,2.453,1.0136,1335
Occupancy,ephemerellidae,per_sand,0.4774,0.6256,-0.5062,0.4527,1.5591,1.0018,1500
Occupancy,ephemeridae,per_sand,0.9465,0.8075,-0.3708,0.9385,2.2692,1.0014,1084
Occupancy,heptageniidae,per_sand,0.5076,0.5449,-0.3201,0.4746,1.4554,1.0121,1500
Occupancy,leptophlebiidae,per_sand,0.9645,0.4314,0.3269,0.9288,1.7121,1.0175,1249
Occupancy,capniidae,per_sand,0.6381,0.847,-0.6843,0.6284,2.0621,1.0294,786
Occupancy,chloroperlidae,per_sand,0.6747,0.7942,-0.5825,0.6475,2.0557,1.0144,1222
Occupancy,leuctridae,per_sand,0.9475,0.6916,-0.1841,0.9288,2.054,1.0075,1326
Occupancy,nemouridae,per_sand,0.9892,0.5634,0.1362,0.9716,1.9129,1.0025,1593
Occupancy,perlidae,per_sand,1.5868,0.5345,0.7381,1.5742,2.4699,1.01,1049
Occupancy,perlodidae,per_sand,0.8437,0.8158,-0.4235,0.8303,2.1963,1.0079,1203
Occupancy,glossosomatidae,per_sand,0.6537,0.8159,-0.6346,0.6149,2.0645,1.0097,1122
Occupancy,goeridae,per_sand,0.5366,0.8577,-0.7789,0.5265,1.9551,1.0008,1191
Occupancy,hydropsychidae,per_sand,1.4224,0.4318,0.7647,1.4124,2.1477,1.0251,1500
Occupancy,hydroptilidae,per_sand,-0.5826,0.6579,-1.6613,-0.5742,0.4653,1.0051,861
Occupancy,lepidostomatidae,per_sand,1.957,0.5922,1.0626,1.9294,3.0136,1.0034,875
Occupancy,limnephilidae,per_sand,2.1898,0.4807,1.477,2.1436,3.008,1.0248,1650
Occupancy,molannidae,per_sand,1.1088,0.7174,-0.0238,1.0925,2.3169,1.0134,1309
Occupancy,philopotamidae,per_sand,0.0586,0.4168,-0.6086,0.0645,0.7373,1.011,1353
Occupancy,polycentropodidae,per_sand,0.0824,0.3993,-0.5403,0.0733,0.7513,0.9996,1500
Occupancy,rhyacophilidae,per_sand,0.3753,0.5596,-0.4784,0.3593,1.2879,1.0024,1500
Occupancy,uenoidae,per_sand,0.6497,0.783,-0.5233,0.623,1.9431,1.0071,1285
Occupancy,midges,per_cobble,0.2745,0.396,-0.3809,0.2782,0.9081,1.0036,1500
Occupancy,mole,per_cobble,0.2019,0.5179,-0.6786,0.216,1.0147,1.0006,1272
Occupancy,mtdusky,per_cobble,0.1382,0.5153,-0.7123,0.1505,0.9587,1.0004,1253
Occupancy,nodusky,per_cobble,0.6265,0.3495,0.1195,0.5924,1.2796,1.0058,1254
Occupancy,twolined,per_cobble,0.8626,0.345,0.3356,0.8425,1.446,1.0057,1222
Occupancy,longtail,per_cobble,0.3038,0.5043,-0.513,0.2972,1.1498,1.003,1500
Occupancy,red,per_cobble,0.1516,0.4971,-0.6379,0.1517,0.9579,1.001,1270
Occupancy,redback,per_cobble,0.3648,0.4358,-0.317,0.3652,1.0802,1.0087,1500
Occupancy,blacknose_dace,per_cobble,0.5733,0.4945,-0.1844,0.5401,1.4212,1.0046,1367
Occupancy,bluegill_sunfish,per_cobble,0.2804,0.5289,-0.5859,0.2894,1.1374,1.0051,1500
Occupancy,creek_chub,per_cobble,0.0315,0.5252,-0.8629,0.0412,0.8505,1.0074,1220
Occupancy,johnny_darter,per_cobble,0.6105,0.4203,-0.0408,0.5993,1.3188,1.0081,1272
Occupancy,sessile_animals,per_cobble,0.1678,0.5405,-0.7342,0.1802,1.0362,1.0061,1165
Occupancy,aquatic_worms,per_cobble,0.2512,0.3638,-0.3034,0.2347,0.8553,0.9996,1595
Occupancy,sow_bugs,per_cobble,0.052,0.4357,-0.6399,0.0439,0.7841,1.0171,1268
Occupancy,scuds,per_cobble,0.2261,0.4723,-0.5002,0.2144,1.0098,1.0045,1119
Occupancy,water_mites,per_cobble,0.3933,0.4103,-0.2188,0.3659,1.0897,1.0086,1273
Occupancy,damselfly_nymphs,per_cobble,0.603,0.4132,-0.0693,0.5912,1.2881,1.0064,1524
Occupancy,alderfly_larvae,per_cobble,-0.4894,0.3748,-1.133,-0.4647,0.0845,1.0059,1121
Occupancy,other_beetles,per_cobble,-0.0296,0.4188,-0.6772,-0.0446,0.6771,1.0054,1289
Occupancy,crayfish,per_cobble,0.3319,0.1906,0.0287,0.3273,0.6386,1.0035,1500
Occupancy,dragonfly_nymphs,per_cobble,0.3125,0.3459,-0.1979,0.2949,0.9187,1.0272,1500
Occupancy,riffle_beetles,per_cobble,0.32,0.3335,-0.1636,0.2928,0.9043,1.001,1473
Occupancy,other_flies,per_cobble,-0.3397,0.5477,-1.1824,-0.3588,0.6128,1.0062,1197
Occupancy,snails,per_cobble,0.3289,0.368,-0.2644,0.3142,0.913,1.0043,1500
Occupancy,clams,per_cobble,0.0997,0.4177,-0.5653,0.0973,0.7867,1.0065,1032
Occupancy,fishfly_larvae,per_cobble,0.6769,0.3079,0.2247,0.6681,1.1894,1.0076,1500
Occupancy,water_penny_beetles,per_cobble,0.893,0.3653,0.3693,0.8696,1.5286,1.0166,1231
Occupancy,cranefly_larvae,per_cobble,0.4532,0.4109,-0.2026,0.4477,1.1111,1.0017,1500
Occupancy,ameletidae,per_cobble,0.1253,0.5172,-0.7706,0.1588,0.9378,1.0013,1367
Occupancy,baetidae,per_cobble,0.3733,0.3214,-0.1456,0.3591,0.9097,1.0002,1336
Occupancy,caenidae,per_cobble,-0.0436,0.5466,-0.9759,-0.0116,0.791,1.0053,945
Occupancy,ephemerellidae,per_cobble,0.2584,0.4669,-0.512,0.2504,1.0694,1.0169,1291
Occupancy,ephemeridae,per_cobble,0.2948,0.4998,-0.5259,0.2969,1.1155,1.0002,1500
Occupancy,heptageniidae,per_cobble,0.2595,0.3553,-0.2669,0.2347,0.891,1.0013,1500
Occupancy,leptophlebiidae,per_cobble,0.053,0.309,-0.4395,0.0492,0.5588,1.0139,1479
Occupancy,capniidae,per_cobble,0.367,0.5255,-0.5023,0.3678,1.2406,1.0053,1500
Occupancy,chloroperlidae,per_cobble,0.4754,0.5023,-0.3219,0.4726,1.2894,1.007,1318
