Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,creek_chub,pool_depth_.cm.,0.1643,0.8575,-1.1651,0.165,1.5925,1.0096,1191
Occupancy,rainbow_darter,pool_depth_.cm.,0.3812,1.0009,-1.2006,0.3321,2.0926,1.0088,955
Occupancy,rainbow_trout,pool_depth_.cm.,0.5891,0.9333,-0.9269,0.5761,2.0455,1.0127,910
Occupancy,white_sucker,pool_depth_.cm.,1.0235,0.8282,-0.2684,1.0121,2.3991,1.0013,914
Occupancy,aquatic_worms,pool_depth_.cm.,1.169,0.4975,0.3982,1.1447,2.035,1.0095,1325
Occupancy,sow_bugs,pool_depth_.cm.,0.3234,0.6759,-0.6258,0.2482,1.5792,1,1011
Occupancy,scuds,pool_depth_.cm.,0.0982,0.7851,-1.1624,0.0775,1.372,1.0094,1275
Occupancy,water_mites,pool_depth_.cm.,0.2181,0.4949,-0.554,0.2067,0.9991,1.0105,1500
Occupancy,damselfly_nymphs,pool_depth_.cm.,1.1757,0.6582,0.2681,1.084,2.3375,1.0012,1191
Occupancy,alderfly_larvae,pool_depth_.cm.,-0.4949,0.4384,-1.2029,-0.4947,0.1757,1.002,1500
Occupancy,other_beetles,pool_depth_.cm.,-1.0753,0.608,-2.0983,-1.0478,-0.2043,1.0234,1174
Occupancy,crayfish,pool_depth_.cm.,0.1884,0.8234,-1.1661,0.1692,1.5508,1.0013,1293
Occupancy,dragonfly_nymphs,pool_depth_.cm.,-0.1873,0.6349,-1.0334,-0.2624,0.9785,1.0107,1251
Occupancy,riffle_beetles,pool_depth_.cm.,1.6719,0.4773,0.9779,1.6116,2.5024,1.011,1096
Occupancy,midges,pool_depth_.cm.,1.1764,0.6744,0.1576,1.106,2.3926,1.0057,1129
Occupancy,snails,pool_depth_.cm.,0.6331,0.8227,-0.7462,0.6427,1.9423,1.0087,1239
Occupancy,clams,pool_depth_.cm.,0.1783,0.964,-1.4363,0.1779,1.8296,1.0016,1180
Occupancy,fishfly_larvae,pool_depth_.cm.,0.1886,0.7391,-1.0219,0.1626,1.4259,1.0101,1500
Occupancy,water_penny_beetles,pool_depth_.cm.,0.526,0.669,-0.4255,0.4566,1.6678,1.0063,846
Occupancy,cranefly_larvae,pool_depth_.cm.,0.4804,0.8618,-0.7076,0.3657,2.0722,1.0126,1256
Occupancy,baetidae,pool_depth_.cm.,1.1115,0.4454,0.4173,1.0818,1.8506,1.008,1385
Occupancy,caenidae,pool_depth_.cm.,0.0097,0.8077,-1.3185,-0.0087,1.403,1.0069,1182
Occupancy,heptageniidae,pool_depth_.cm.,0.5712,0.8506,-0.7403,0.5117,2.0577,1.0088,1125
Occupancy,leptophlebiidae,pool_depth_.cm.,-0.676,0.6495,-1.6684,-0.7205,0.5555,1.0061,1135
Occupancy,chloroperlidae,pool_depth_.cm.,0.1393,0.9248,-1.3349,0.0829,1.7088,1.0048,1171
Occupancy,leuctridae,pool_depth_.cm.,-0.2875,0.337,-0.8232,-0.2912,0.2804,1.005,1500
Occupancy,nemouridae,pool_depth_.cm.,0.2043,0.8255,-1.0823,0.1861,1.5489,1.0012,1261
Occupancy,perlidae,pool_depth_.cm.,0.4312,0.7973,-0.7903,0.3728,1.8358,1.0154,1055
Occupancy,perlodidae,pool_depth_.cm.,0.7352,0.9546,-0.7779,0.7185,2.3507,1.004,760
Occupancy,glossosomatidae,pool_depth_.cm.,-0.1039,0.9859,-1.6896,-0.1027,1.4867,1,1014
Occupancy,hydropsychidae,pool_depth_.cm.,0.4071,0.798,-0.757,0.3099,1.8991,1.002,1109
Occupancy,hydroptilidae,pool_depth_.cm.,0.0823,0.663,-0.9664,0.0515,1.2399,1.0072,1377
Occupancy,lepidostomatidae,pool_depth_.cm.,-1.1182,0.4446,-1.8875,-1.0944,-0.4453,1.0011,1215
Occupancy,limnephilidae,pool_depth_.cm.,-0.5681,0.4816,-1.3737,-0.5522,0.1816,1.002,1500
Occupancy,molannidae,pool_depth_.cm.,-0.1056,0.9554,-1.515,-0.1276,1.4882,1.0027,1033
Occupancy,odontoceridae,pool_depth_.cm.,-0.3372,0.9139,-1.8389,-0.3225,1.1135,1.007,1337
Occupancy,philopotamidae,pool_depth_.cm.,0.7477,0.4729,0.0462,0.7154,1.5619,1.0046,1386
Occupancy,phryganeidae,pool_depth_.cm.,0.5917,0.8463,-0.709,0.5576,1.9819,1.0095,1337
Occupancy,polycentropodidae,pool_depth_.cm.,0.2332,0.7653,-0.888,0.2019,1.5248,1.0125,1353
Occupancy,rhyacophilidae,pool_depth_.cm.,-0.8294,0.5956,-1.7724,-0.8431,0.1019,1.016,1158
Occupancy,uenoidae,pool_depth_.cm.,0.2066,0.7718,-0.9807,0.158,1.5728,1.0011,1332
Occupancy,other_flies,per_sand,0.4176,0.5271,-0.3631,0.3754,1.3015,1.0036,1500
Occupancy,central_stoneroller_minnow,per_sand,0.2121,0.5906,-0.7268,0.2068,1.2182,1.013,1252
Occupancy,johnny_darter,per_sand,0.3287,0.5887,-0.6113,0.3209,1.3462,1.003,1500
Occupancy,mtdusky,per_sand,0.0599,0.4051,-0.6182,0.0678,0.695,1.0021,1172
Occupancy,nodusky,per_sand,0.3003,0.4442,-0.3721,0.2727,1.0396,1.0036,1500
Occupancy,twolined,per_sand,0.0308,0.2688,-0.3723,0.0162,0.5039,1.0089,1500
Occupancy,red,per_sand,0.6994,0.5638,-0.1595,0.6544,1.729,1.0069,1113
Occupancy,redback,per_sand,0.2941,0.5259,-0.5554,0.2947,1.1787,1.0062,1500
Occupancy,slimy,per_sand,0.0582,0.6197,-0.9529,0.0663,1.0423,1.011,933
Occupancy,blacknose_dace,per_sand,0.1631,0.5733,-0.7855,0.1475,1.1088,1.0009,1500
Occupancy,creek_chub,per_sand,0.494,0.6605,-0.5428,0.4645,1.6186,1.0128,847
Occupancy,rainbow_darter,per_sand,0.2535,0.6335,-0.7858,0.2287,1.319,1.0081,1342
Occupancy,rainbow_trout,per_sand,0.2539,0.6031,-0.6877,0.2615,1.2197,1.0036,1495
Occupancy,white_sucker,per_sand,0.3494,0.5896,-0.5591,0.3383,1.3303,1.0008,1321
Occupancy,aquatic_worms,per_sand,0.0442,0.3855,-0.5012,0.0057,0.7674,1.0051,1500
Occupancy,sow_bugs,per_sand,0.2309,0.4011,-0.4178,0.2179,0.8803,1.0067,1500
Occupancy,scuds,per_sand,-0.079,0.556,-0.9466,-0.1037,0.825,1.0084,1246
Occupancy,water_mites,per_sand,-0.1325,0.4015,-0.8095,-0.1284,0.5058,1.0104,1342
Occupancy,damselfly_nymphs,per_sand,0.1189,0.4456,-0.5514,0.0871,0.8866,1.0095,1500
Occupancy,alderfly_larvae,per_sand,0.5718,0.3588,0.0225,0.5472,1.2224,1.0133,1205
Occupancy,other_beetles,per_sand,0.3086,0.3643,-0.2647,0.2934,0.9212,1.0019,1500
Occupancy,crayfish,per_sand,0.3769,0.5183,-0.4475,0.3649,1.2518,1.0088,1500
Occupancy,dragonfly_nymphs,per_sand,0.8277,0.5516,-0.0244,0.7934,1.7834,1.0094,1126
Occupancy,riffle_beetles,per_sand,-0.2164,0.3267,-0.7586,-0.2134,0.3208,1.006,1500
Occupancy,midges,per_sand,0.136,0.4235,-0.4805,0.0968,0.9058,1.0136,1500
Occupancy,snails,per_sand,0.0149,0.5249,-0.7837,-0.0057,0.9323,1.0011,1500
Occupancy,clams,per_sand,0.0248,0.611,-1.0134,0.0474,0.9936,1.0001,1263
Occupancy,fishfly_larvae,per_sand,0.2707,0.554,-0.6384,0.284,1.1745,1.0021,1500
Occupancy,water_penny_beetles,per_sand,0.1178,0.4872,-0.6613,0.1133,0.9249,1.0078,1405
Occupancy,cranefly_larvae,per_sand,0.464,0.5537,-0.371,0.4352,1.4304,1.0163,1097
Occupancy,baetidae,per_sand,0.0738,0.3799,-0.47,0.0326,0.7582,1.0103,1500
Occupancy,caenidae,per_sand,0.1884,0.5742,-0.7171,0.1726,1.1408,1.0067,1334
Occupancy,heptageniidae,per_sand,0.24,0.6054,-0.7694,0.2218,1.2127,1.0036,1367
Occupancy,leptophlebiidae,per_sand,0.5075,0.4913,-0.2577,0.4841,1.3442,1.0029,1500
Occupancy,chloroperlidae,per_sand,0.1592,0.6164,-0.8153,0.16,1.1817,1.0079,1500
Occupancy,leuctridae,per_sand,0.2225,0.3406,-0.2754,0.2069,0.8022,1.0015,1500
Occupancy,nemouridae,per_sand,0.3614,0.6632,-0.7396,0.3342,1.4468,1.0176,1262
Occupancy,perlidae,per_sand,0.4421,0.436,-0.2028,0.4161,1.2446,1.003,1500
Occupancy,perlodidae,per_sand,0.4066,0.6265,-0.5166,0.3735,1.4462,1.0028,1109
Occupancy,glossosomatidae,per_sand,0.1777,0.5881,-0.7422,0.178,1.1175,1.0258,1222
Occupancy,hydropsychidae,per_sand,0.4019,0.4331,-0.2449,0.3815,1.1613,1.0013,1500
Occupancy,hydroptilidae,per_sand,-0.0443,0.5435,-0.8908,-0.0354,0.8001,1.0012,1370
