Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,scuds,Intercept,-0.8064,0.8648,-1.8705,-0.9795,0.8523,1.0255,701
Occupancy,water_mites,Intercept,2.0029,1.5309,-0.2638,1.8713,4.7736,1.0074,520
Occupancy,damselfly_nymphs,Intercept,1.1528,0.8447,-0.0357,1.0553,2.7112,1.0207,803
Occupancy,alderfly_larvae,Intercept,2.1611,1.3815,0.2422,1.9503,4.6485,1.0013,577
Occupancy,other_beetles,Intercept,3.9948,1.2807,2.1991,3.8402,6.2951,1.0362,458
Occupancy,crayfish,Intercept,2.1322,0.6274,1.3007,2.0269,3.3139,1.0053,1500
Occupancy,dragonfly_nymphs,Intercept,2.9402,1.2148,1.3166,2.7746,5.2978,1.014,628
Occupancy,riffle_beetles,Intercept,0.6546,0.6021,-0.1547,0.5745,1.6908,1.0146,1378
Occupancy,other_flies,Intercept,3.7481,0.9801,2.4842,3.595,5.6336,1.032,678
Occupancy,snails,Intercept,2.3013,0.8543,1.1054,2.1623,3.9323,1.0087,781
Occupancy,clams,Intercept,1.6833,1.3469,-0.0931,1.4636,4.1526,1.0183,541
Occupancy,fishfly_larvae,Intercept,0.0983,0.6213,-0.8101,0.041,1.1832,1.0071,1164
Occupancy,water_penny_beetles,Intercept,-0.0292,0.9567,-1.2349,-0.2057,1.7904,1.0296,763
Occupancy,cranefly_larvae,Intercept,2.947,0.7996,1.7634,2.8645,4.3932,1.0041,1317
Occupancy,ameletidae,Intercept,1.2095,1.0754,-0.106,0.9806,3.3477,1.0014,801
Occupancy,baetidae,Intercept,1.9491,1.4477,-0.1071,1.7844,4.6543,1.0071,439
Occupancy,caenidae,Intercept,1.0254,1.9574,-2.4353,1.1346,4.2182,1.0096,302
Occupancy,ephemeridae,Intercept,-0.5919,2.3537,-4.4811,-0.4991,3.0648,1.0452,144
Occupancy,heptageniidae,Intercept,-0.2698,1.2386,-1.6458,-0.6188,2.2842,1.0236,370
Occupancy,leptohyphidae,Intercept,1.5982,1.8583,-1.8003,1.6281,4.6555,1.0096,248
Occupancy,leptophlebiidae,Intercept,0.8907,0.7863,-0.1638,0.7737,2.3321,1.0101,1119
Occupancy,chloroperlidae,Intercept,0.7765,1.804,-1.9812,0.6966,3.9151,1.0129,225
Occupancy,leuctridae,Intercept,1.008,1.1093,-0.3447,0.77,2.9772,0.9998,612
Occupancy,nemouridae,Intercept,1.4523,1.3771,-0.3206,1.2047,4.1437,1.0188,553
Occupancy,perlidae,Intercept,2.524,1.3912,0.5566,2.3985,4.9377,1.0075,627
Occupancy,perlodidae,Intercept,1.4314,1.8001,-1.2041,1.3649,4.56,1.0154,415
Occupancy,glossosomatidae,Intercept,-0.4719,1.9643,-3.5586,-0.5188,2.9047,1.1714,137
Occupancy,hydropsychidae,Intercept,2.3928,0.9793,1.1203,2.2567,4.1893,1.0034,898
Occupancy,hydroptilidae,Intercept,0.1275,1.7445,-2.3514,-0.0545,3.3949,1.0541,255
Occupancy,lepidostomatidae,Intercept,-0.3767,0.9683,-1.4723,-0.5809,1.3415,1.1024,496
Occupancy,limnephilidae,Intercept,0.8028,1.4039,-0.6322,0.4041,3.6586,1.0825,304
Occupancy,molannidae,Intercept,-0.7369,2.5301,-4.5739,-0.8202,3.5228,1.0975,161
Occupancy,odontoceridae,Intercept,-2.2233,1.5185,-4.2288,-2.5087,0.8143,1.0016,264
Occupancy,philopotamidae,Intercept,0.632,1.0355,-0.7895,0.4613,2.5242,1.0063,844
Occupancy,phryganeidae,Intercept,1.0321,1.9103,-1.8239,0.8968,4.2653,1.0285,334
Occupancy,polycentropodidae,Intercept,0.3146,0.7102,-0.6226,0.2264,1.4752,1.0094,762
Occupancy,rhyacophilidae,Intercept,-0.3812,1.3396,-2.1499,-0.5827,2.0499,1.007,322
Occupancy,uenoidae,Intercept,0.9353,1.105,-0.4916,0.7864,2.9295,1.0158,645
Occupancy,midges,pool_depth_.cm.,1.3348,0.8119,0.1767,1.2689,2.7902,1.0146,1061
Occupancy,mole,pool_depth_.cm.,-0.7565,1.0704,-2.5268,-0.6805,0.8925,1.017,917
